_id,report_time,state,confirmed_india,confirmed_foreign,cured,death
2020-03-10T12:00:00.00+05:30|dl,2020-03-10T12:00:00.00+05:30,dl,4,0,0,0
2020-03-10T12:00:00.00+05:30|hr,2020-03-10T12:00:00.00+05:30,hr,0,14,0,0
2020-03-10T12:00:00.00+05:30|jk,2020-03-10T12:00:00.00+05:30,jk,1,0,0,0
2020-03-10T12:00:00.00+05:30|ka,2020-03-10T12:00:00.00+05:30,ka,1,0,0,0
2020-03-10T12:00:00.00+05:30|kl,2020-03-10T12:00:00.00+05:30,kl,9,0,0,0
2020-03-10T12:00:00.00+05:30|la,2020-03-10T12:00:00.00+05:30,la,2,0,0,0
2020-03-10T12:00:00.00+05:30|mh,2020-03-10T12:00:00.00+05:30,mh,2,0,0,0
2020-03-10T12:00:00.00+05:30|pb,2020-03-10T12:00:00.00+05:30,pb,1,0,0,0
2020-03-10T12:00:00.00+05:30|rj,2020-03-10T12:00:00.00+05:30,rj,0,2,0,0
2020-03-10T12:00:00.00+05:30|tg,2020-03-10T12:00:00.00+05:30,tg,1,0,0,0
2020-03-10T12:00:00.00+05:30|tn,2020-03-10T12:00:00.00+05:30,tn,1,0,0,0
2020-03-10T12:00:00.00+05:30|up,2020-03-10T12:00:00.00+05:30,up,9,0,0,0
2020-03-11T17:30:00.00+05:30|dl,2020-03-11T17:30:00.00+05:30,dl,5,0,0,0
2020-03-11T17:30:00.00+05:30|hr,2020-03-11T17:30:00.00+05:30,hr,0,14,0,0
2020-03-11T17:30:00.00+05:30|jk,2020-03-11T17:30:00.00+05:30,jk,1,0,0,0
2020-03-11T17:30:00.00+05:30|ka,2020-03-11T17:30:00.00+05:30,ka,4,0,0,0
2020-03-11T17:30:00.00+05:30|kl,2020-03-11T17:30:00.00+05:30,kl,17,0,0,0
2020-03-11T17:30:00.00+05:30|la,2020-03-11T17:30:00.00+05:30,la,2,0,0,0
2020-03-11T17:30:00.00+05:30|mh,2020-03-11T17:30:00.00+05:30,mh,2,0,0,0
2020-03-11T17:30:00.00+05:30|pb,2020-03-11T17:30:00.00+05:30,pb,1,0,0,0
